,0,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
506,506,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3148281
1584,1584,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,3133089
2970,2970,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,167209040
3388,3388,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,311958
3806,3806,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,8312068
5720,5720,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,10989732
8844,8844,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,5836000
9262,9262,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,15333703
9680,9680,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,80187
10098,10098,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,1710256
10318,10318,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2432851
10736,10736,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,3658424
11154,11154,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3575137
11572,11572,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,21562793
12232,12232,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2335734
13002,13002,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2249762
14718,14718,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38649660
15136,15136,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10108977
15554,15554,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,535321
15972,15972,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,22553978
16390,16390,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,172068
19118,19118,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,96619
20922,20922,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,2671362
507,507,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3128530
1585,1585,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,3108687
2971,2971,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,169785250
