Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,3148281
2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,13033809
2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,28267685
2015IPV1Russian Federation,Russian Federation,2015,IPV1,CEECIS,97,1829000,1885000,142960868
2015IPV1Qatar,Qatar,2015,IPV1,MENA,96,24000,25000,2035871
2015IPV1Peru,Peru,2015,IPV1,LACR,98,551000,562000,29264318
2015IPV1Panama,Panama,2015,IPV1,LACR,80,62000,78000,3706483
2015IPV1Pakistan,Pakistan,2015,IPV1,ROSA,20,1089000,5445000,183340592
2015IPV1Oman,Oman,2015,IPV1,MENA,99,85000,86000,3251108
2015IPV1Nigeria,Nigeria,2015,IPV1,WCAR,45,2993000,6651000,162805071
2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7234099
2015IPV1Niger,Niger,2015,IPV1,WCAR,27,244000,905000,17114761
2015IPV1Nepal,Nepal,2015,IPV1,ROSA,59,327000,554000,27041437
2015IPV1Myanmar,Myanmar,2015,IPV1,EAPR,8,73000,911000,50990615
2015IPV1Morocco,Morocco,2015,IPV1,MENA,33,227000,688000,32781850
2015IPV1Montenegro,Montenegro,2015,IPV1,CEECIS,96,7000,7000,620079
2015IPV1Mexico,Mexico,2015,IPV1,LACR,99,2208000,2230000,115695473
2015IPV1Mauritania,Mauritania,2015,IPV1,WCAR,6,8000,134000,3598648
2015IPV1Maldives,Maldives,2015,IPV1,ROSA,82,6000,7000,380495
2015IPV1Madagascar,Madagascar,2015,IPV1,ESAR,30,235000,785000,21743967
2015IPV1Libya,Libya,2015,IPV1,MENA,98,128000,131000,6247439
2015IPV1Nicaragua,Nicaragua,2015,IPV1,LACR,9,12000,134000,5903039
2015IPV1Lebanon,Lebanon,2015,IPV1,MENA,96,106000,110000,5202343
2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,87441
2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,541521
2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,9729248
2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,338000
2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,151007807
2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1299943
2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,90409
2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,37383887
2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2900401
2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,242653
2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,8946777
2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,5183688
2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,45706100
2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10741880
2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1336178
2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,103562
2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,21082966
2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,535179
2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,35349681
2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,20398670
2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,9830698
2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,52004172
2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,73443863
2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,701583
2015IPV1Kuwait,Kuwait,2015,IPV1,MENA,97,58000,60000,3168060
2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,16557201
2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,149273778
2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1278151
2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,89253
2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,36661444
2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2905195
2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,236211
2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,8549988
2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,45870700
2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,72326988
2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,330237
2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10635244
