,Unnamed: 0,0,Unnamed: 0.1,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
0,132,132,203,2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,3148281
1032,6790,6790,27990,2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,13033809
1031,6724,6724,27762,2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,28267685
1030,6482,6482,26297,2015IPV1Russian Federation,Russian Federation,2015,IPV1,CEECIS,97,1829000,1885000,142960868
1029,6394,6394,25288,2015IPV1Qatar,Qatar,2015,IPV1,MENA,96,24000,25000,2035871
1028,6240,6240,24452,2015IPV1Peru,Peru,2015,IPV1,LACR,98,551000,562000,29264318
1027,6020,6020,23844,2015IPV1Panama,Panama,2015,IPV1,LACR,80,62000,78000,3706483
1026,5932,5932,23463,2015IPV1Pakistan,Pakistan,2015,IPV1,ROSA,20,1089000,5445000,183340592
1025,5844,5844,23245,2015IPV1Oman,Oman,2015,IPV1,MENA,99,85000,86000,3251108
1024,5756,5756,22697,2015IPV1Nigeria,Nigeria,2015,IPV1,WCAR,45,2993000,6651000,162805071
1033,6878,6878,28170,2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7234099
1023,5668,5668,22535,2015IPV1Niger,Niger,2015,IPV1,WCAR,27,244000,905000,17114761
1021,5492,5492,21842,2015IPV1Nepal,Nepal,2015,IPV1,ROSA,59,327000,554000,27041437
1020,5360,5360,21346,2015IPV1Myanmar,Myanmar,2015,IPV1,EAPR,8,73000,911000,50990615
1019,5206,5206,21005,2015IPV1Morocco,Morocco,2015,IPV1,MENA,33,227000,688000,32781850
1018,5118,5118,20875,2015IPV1Montenegro,Montenegro,2015,IPV1,CEECIS,96,7000,7000,620079
1017,5030,5030,20059,2015IPV1Mexico,Mexico,2015,IPV1,LACR,99,2208000,2230000,115695473
1016,4876,4876,19708,2015IPV1Mauritania,Mauritania,2015,IPV1,WCAR,6,8000,134000,3598648
1015,4722,4722,18970,2015IPV1Maldives,Maldives,2015,IPV1,ROSA,82,6000,7000,380495
1014,4634,4634,18450,2015IPV1Madagascar,Madagascar,2015,IPV1,ESAR,30,235000,785000,21743967
1013,4546,4546,17861,2015IPV1Libya,Libya,2015,IPV1,MENA,98,128000,131000,6247439
1022,5580,5580,22337,2015IPV1Nicaragua,Nicaragua,2015,IPV1,LACR,9,12000,134000,5903039
1012,4370,4370,17354,2015IPV1Lebanon,Lebanon,2015,IPV1,MENA,96,106000,110000,5202343
1034,6966,6966,28367,2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,87441
1036,7164,7164,29280,2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,541521
1056,961,961,3381,2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,9729248
1055,873,873,3194,2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,338000
1054,719,719,2486,2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,151007807
1053,631,631,2287,2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1299943
1052,345,345,939,2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,90409
1051,235,235,411,2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,37383887
1050,147,147,203,2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2900401
1049,8572,8572,34561,2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,242653
1048,8462,8462,33423,2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,8946777
1035,7076,7076,28718,2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,5183688
1047,8374,8374,33216,2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,45706100
1045,8110,8110,32298,2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10741880
1044,8022,8022,32098,2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1336178
1043,7934,7934,31898,2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,103562
1042,7692,7692,31062,2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,21082966
1041,7604,7604,30541,2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,535179
1040,7516,7516,30381,2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,35349681
1039,7450,7450,29990,2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,20398670
1038,7362,7362,29762,2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,9830698
1037,7274,7274,29577,2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,52004172
1046,8198,8198,32486,2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,73443863
1057,1049,1049,3555,2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,701583
1011,4282,4282,16577,2015IPV1Kuwait,Kuwait,2015,IPV1,MENA,97,58000,60000,3168060
1009,4040,4040,15985,2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,16557201
984,718,718,2486,2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,149273778
983,630,630,2287,2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1278151
982,344,344,939,2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,89253
981,234,234,411,2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,36661444
980,146,146,203,2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2905195
979,8571,8571,34561,2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,236211
978,8461,8461,33423,2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,8549988
977,8373,8373,33216,2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,45870700
976,8197,8197,32486,2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,72326988
985,872,872,3194,2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,330237
975,8109,8109,32298,2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10635244
973,7933,7933,31898,2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,103986
972,7691,7691,31062,2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,21362529
971,7603,7603,30541,2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,529131
970,7515,7515,30381,2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,34545013
969,7449,7449,29990,2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,20261737
968,7361,7361,29762,2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,9508364
967,7273,7273,29577,2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,51216964
966,7163,7163,29280,2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,527861
965,7075,7075,28718,2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,5076732
974,8021,8021,32098,2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1328147
1010,4194,4194,16377,2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,104728
986,960,960,3381,2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,9460830
988,1136,1136,3928,2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3661175
1008,3952,3952,15790,2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,7663131
1007,3864,3864,15452,2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2825929
1006,3776,3776,15078,2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7765800
1005,3578,3578,14194,2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1250288729
1004,3490,3490,13656,2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8480671
1003,3336,3336,13284,2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,752028
1002,3182,3182,12968,2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10420471
1001,3028,3028,12613,2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,106796
1000,2918,2918,11863,2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3756441
987,1048,1048,3555,2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,693298
999,2434,2434,9540,2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15243883
997,2126,2126,7597,2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,21028655
996,2060,2060,6876,2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,706569
995,1972,1972,6661,2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,45663099
994,1774,1774,6127,2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,12360989
993,1686,1686,5966,2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4418636
992,1598,1598,5635,2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,20906388
991,1400,1400,5136,2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,8958406
990,1312,1312,4293,2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,197514534
989,1224,1224,4119,2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2015402
998,2346,2346,9336,2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9813210
964,6965,6965,28367,2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,89770
1058,1137,1137,3928,2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3604972
1060,1313,1313,4293,2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,199287296
1128,1138,1138,3928,2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3542605
1127,1050,1050,3555,2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,710238
1126,962,962,3381,2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,10004588
1125,874,874,3194,2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,345715
1124,720,720,2486,2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,152764676
1123,632,632,2287,2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1315029
1122,346,346,939,2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,91516
1121,236,236,411,2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,38140132
1120,148,148,203,2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2895092
1129,1226,1226,4119,2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2062536
1119,8573,8573,34561,2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,249499
1117,8375,8375,33216,2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,45593300
