,0,0.1,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
0,1122,1122,532,2000MCV2Algeria,Algeria,2000,MCV2,MENA,78,564000,723000,29742979
609,26326,26326,23402,2000MCV2Oman,Oman,2000,MCV2,MENA,99,56000,57000,3251108
610,26964,26964,24013,2000MCV2Panama,Panama,2000,MCV2,LACR,88,55000,62000,3706483
611,28174,28174,25006,2000MCV2Poland,Poland,2000,MCV2,Industrialized,96,397000,414000,38063255
612,28592,28592,25217,2000MCV2Portugal,Portugal,2000,MCV2,Industrialized,48,51000,105000,10557560
613,29384,29384,26243,2000MCV2Romania,Romania,2000,MCV2,CEECIS,96,236000,246000,20147528
614,29802,29802,26418,2000MCV2Russian Federation,Russian Federation,2000,MCV2,CEECIS,86,1261000,1466000,142960868
615,31298,31298,28308,2000MCV2Serbia,Serbia,2000,MCV2,CEECIS,78,117000,150000,7234099
616,32200,32200,28861,2000MCV2Singapore,Singapore,2000,MCV2,EAPR,98,48000,49000,5183688
617,32618,32618,29219,2000MCV2Slovenia,Slovenia,2000,MCV2,Industrialized,98,19000,19000,2052843
618,33058,33058,29713,2000MCV2South Africa,South Africa,2000,MCV2,ESAR,62,599000,966000,52004172
619,34488,34488,30846,2000MCV2Sweden,Sweden,2000,MCV2,Industrialized,94,109000,116000,9449213
608,25908,25908,23182,2000MCV2Norway,Norway,2000,MCV2,Industrialized,90,52000,58000,4953088
620,35214,35214,31198,2000MCV2Syrian Arab Republic,Syrian Arab Republic,2000,MCV2,MENA,80,386000,482000,21082966
622,36050,36050,31562,2000MCV2Thailand,Thailand,2000,MCV2,EAPR,99,1000000,1010000,67518382
623,37282,37282,32424,2000MCV2Tunisia,Tunisia,2000,MCV2,MENA,98,181000,184000,10741880
624,38096,38096,32814,2000MCV2Turkmenistan,Turkmenistan,2000,MCV2,CEECIS,92,106000,115000,5174085
625,38514,38514,33361,2000MCV2Ukraine,Ukraine,2000,MCV2,CEECIS,99,542000,548000,45706100
626,38932,38932,33583,2000MCV2United Arab Emirates,United Arab Emirates,2000,MCV2,MENA,92,49000,54000,8946777
627,39350,39350,33751,2000MCV2United Kingdom,United Kingdom,2000,MCV2,Industrialized,76,541000,711000,63258918
628,39768,39768,34119,2000MCV2United States,United States,2000,MCV2,Industrialized,85,3341000,3930000,311580009
629,40318,40318,34510,2000MCV2Uzbekistan,Uzbekistan,2000,MCV2,CEECIS,98,563000,574000,29339400
630,1137,1137,532,2000MCV2Algeria,Algeria,2000,MCV2,MENA,78,564000,723000,37383887
631,1951,1951,1277,2000MCV2Argentina,Argentina,2000,MCV2,LACR,56,394000,704000,41733271
632,2369,2369,1489,2000MCV2Armenia,Armenia,2000,MCV2,CEECIS,94,40000,42000,2884229
621,35632,35632,31392,2000MCV2Tajikistan,Tajikistan,2000,MCV2,CEECIS,59,104000,176000,7697510
607,23928,23928,20820,2000MCV2Mongolia,Mongolia,2000,MCV2,EAPR,75,35000,46000,2770362
606,23510,23510,20217,2000MCV2Mexico,Mexico,2000,MCV2,LACR,98,2245000,2291000,115695473
605,21596,21596,18209,2000MCV2Lithuania,Lithuania,2000,MCV2,Industrialized,97,35000,37000,3028115
580,36049,36049,31562,2000MCV2Thailand,Thailand,2000,MCV2,EAPR,99,1000000,1010000,67195028
581,37281,37281,32424,2000MCV2Tunisia,Tunisia,2000,MCV2,MENA,98,181000,184000,10635244
582,38095,38095,32814,2000MCV2Turkmenistan,Turkmenistan,2000,MCV2,CEECIS,92,106000,115000,5087213
583,38513,38513,33361,2000MCV2Ukraine,Ukraine,2000,MCV2,CEECIS,99,542000,548000,45870700
584,38931,38931,33583,2000MCV2United Arab Emirates,United Arab Emirates,2000,MCV2,MENA,92,49000,54000,8549988
585,39349,39349,33751,2000MCV2United Kingdom,United Kingdom,2000,MCV2,Industrialized,76,541000,711000,62766365
586,39767,39767,34119,2000MCV2United States,United States,2000,MCV2,Industrialized,85,3341000,3930000,309326085
587,40317,40317,34510,2000MCV2Uzbekistan,Uzbekistan,2000,MCV2,CEECIS,98,563000,574000,28562400
588,1136,1136,532,2000MCV2Algeria,Algeria,2000,MCV2,MENA,78,564000,723000,36661444
589,1950,1950,1277,2000MCV2Argentina,Argentina,2000,MCV2,LACR,56,394000,704000,41261490
590,2368,2368,1489,2000MCV2Armenia,Armenia,2000,MCV2,CEECIS,94,40000,42000,2876538
591,3116,3116,1853,2000MCV2Austria,Austria,2000,MCV2,Industrialized,35,33000,95000,8391643
592,3930,3930,2425,2000MCV2Bahrain,Bahrain,2000,MCV2,MENA,92,14000,15000,1278151
593,4898,4898,2956,2000MCV2Belarus,Belarus,2000,MCV2,CEECIS,92,100000,109000,9473172
594,6152,6152,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3661175
595,6702,6702,4476,2000MCV2Brazil,Brazil,2000,MCV2,LACR,95,3279000,3451000,197514534
596,7120,7120,4685,2000MCV2Brunei Darussalam,Brunei Darussalam,2000,MCV2,EAPR,95,6000,7000,393688
597,7538,7538,4896,2000MCV2Bulgaria,Bulgaria,2000,MCV2,CEECIS,83,88000,106000,7348328
598,9320,9320,6821,2000MCV2Colombia,Colombia,2000,MCV2,LACR,84,752000,895000,45663099
599,12180,12180,10553,2000MCV2Estonia,Estonia,2000,MCV2,Industrialized,89,11000,12000,1327439
600,15656,15656,13975,2000MCV2Hungary,Hungary,2000,MCV2,Industrialized,99,124000,126000,9971727
601,18516,18516,15925,2000MCV2Jordan,Jordan,2000,MCV2,MENA,83,125000,150000,7663131
602,18934,18934,16130,2000MCV2Kazakhstan,Kazakhstan,2000,MCV2,CEECIS,98,263000,269000,16557201
603,19968,19968,17291,2000MCV2Latvia,Latvia,2000,MCV2,Industrialized,90,26000,28000,2059709
604,20386,20386,17488,2000MCV2Lebanon,Lebanon,2000,MCV2,MENA,56,48000,85000,5202343
633,3117,3117,1853,2000MCV2Austria,Austria,2000,MCV2,Industrialized,35,33000,95000,8429991
634,3931,3931,2425,2000MCV2Bahrain,Bahrain,2000,MCV2,MENA,92,14000,15000,1299943
635,4899,4899,2956,2000MCV2Belarus,Belarus,2000,MCV2,CEECIS,92,100000,109000,9464495
636,6153,6153,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3604972
