0,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
0,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3148281
1,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3128530
2,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3108778
3,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3089027
4,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3060173
5,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3051010
6,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3039616
7,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3026939
8,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,3011487
9,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2992547
10,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2970017
11,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2947314
12,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2927519
13,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2913021
14,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2905195
15,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2900401
16,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2895092
17,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2889104
18,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2880703
19,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2876101
20,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2873457
21,172,2018RCV1Albania,Albania,2018,RCV1,CEECIS,94,32000,34000,2866376
22,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3148281
23,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3128530
24,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3108778
25,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3089027
26,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3060173
27,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3051010
28,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3039616
29,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3026939
30,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,3011487
31,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2992547
32,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2970017
33,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2947314
34,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2927519
35,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2913021
36,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2905195
37,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2900401
38,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2895092
39,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2889104
40,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2880703
41,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2876101
42,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2873457
43,184,2017RCV1Albania,Albania,2017,RCV1,CEECIS,96,33000,34000,2866376
44,196,2016RCV1Albania,Albania,2016,RCV1,CEECIS,96,33000,35000,3148281
45,196,2016RCV1Albania,Albania,2016,RCV1,CEECIS,96,33000,35000,3128530
46,196,2016RCV1Albania,Albania,2016,RCV1,CEECIS,96,33000,35000,3108778
47,196,2016RCV1Albania,Albania,2016,RCV1,CEECIS,96,33000,35000,3089027
48,196,2016RCV1Albania,Albania,2016,RCV1,CEECIS,96,33000,35000,3060173
