,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
, Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%), Population with basic handwashing facilities at home (%)
Country, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total
Afghanistan,29,64,38,29,64,38,29,64,38,29,64,38,29,64,37,29,64,37,29,64,37,29,64,37,29,64,37,29,64,37,29,64,37,29,64,37,29,64,37,,,,,,,,,,,,,,,
Algeria,73,88,84,73,88,84,73,88,84,73,88,83,73,88,83,73,88,83,73,88,83,73,88,83,73,88,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,13,34,27,13,34,27,13,34,26,13,34,26,13,34,26,13,34,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,90,97,94,88,96,93,87,96,93,85,96,92,84,96,91,83,96,91,81,95,90,80,95,89,78,95,89,77,95,88,76,94,88,74,94,87,73,94,86,71,94,86,70,94,85,68,93,84,67,93,84,66,93,83
Azerbaijan,,,83,,,83,,,83,,,83,,,83,,,83,,,83,,,83,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,26,51,35,26,51,35,26,51,34,26,51,34,26,51,34,26,51,34,26,51,34,26,51,33,26,51,33,26,51,33,26,51,33,26,51,33,26,51,33,,,,,,,,,,,,,,,
Barbados,,,,,,88,,,88,,,88,,,88,,,88,,,88,,,88,,,88,,,88,,,,,,,,,,,,,,,,,,,,,,,,
