country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.57300000000001,73.598,73.622,73.646,73.671,73.7,73.738,73.78699999999999,73.85300000000001,73.937,74.038,74.156,74.28699999999999,74.429,74.57600000000001,74.725,74.872,75.017,75.158,75.29899999999999,75.441,75.583,75.725,75.868,76.01
Afghanistan,43.244,43.923,44.617,45.324,46.04,46.761,47.486000000000004,48.211000000000006,48.93,49.64,50.331,50.998999999999995,51.641000000000005,52.256,52.842,53.398,53.924,54.424,54.906000000000006,55.376000000000005,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.483999999999995,61.028,61.553000000000004,62.053999999999995,62.525,62.966,63.376999999999995,63.763000000000005,64.13
Angola,44.178000000000004,44.403999999999996,44.611000000000004,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306000000000004,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763000000000005,46.093,46.522,47.059,47.702,48.44,49.263000000000005,50.165,51.143,52.177,53.243,54.31100000000001,55.35,56.33,57.236000000000004,58.053999999999995,58.776,59.398,59.925,60.379
Albania,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.80199999999999,71.86,71.992,72.205,72.495,72.83800000000001,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.22800000000001,75.423,75.646,75.91199999999999,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,58.34502343,58.97735932,59.63599732,60.31627713,61.003761100000006,61.67681575,62.3141203,62.90134584,63.429687,63.89898142,64.35157697,64.73634052,65.04385197,65.41490735,65.78565252,66.19609985,66.55410287,66.89714496,67.21809146,67.51768895,67.80059112,68.07251852,68.34024599,68.61050538,68.88618772,69.1646828,69.43945919,69.70155465,69.94217427,70.15756004,70.34991623,70.52877480000001,70.7038266,70.88225374,71.06429243,71.24957141,71.43649684,71.62252633
United Arab Emirates,68.21300000000001,68.70100000000001,69.158,69.585,69.986,70.363,70.717,71.04899999999999,71.361,71.657,71.939,72.208,72.46600000000001,72.715,72.957,73.194,73.428,73.657,73.883,74.10600000000001,74.327,74.544,74.758,74.968,75.17399999999999,75.376,75.57300000000001,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.64699999999999
Argentina,69.49600000000001,69.777,70.033,70.262,70.46600000000001,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.24600000000001,72.453,72.65100000000001,72.843,73.029,73.21300000000001,73.396,73.57600000000001,73.755,73.932,74.107,74.28,74.45100000000001,74.62,74.78699999999999,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372
Armenia,70.937,70.91,70.77600000000001,70.51899999999999,70.15,69.69800000000001,69.205,68.732,68.332,68.038,67.87899999999999,67.87,67.99,68.218,68.538,68.938,69.404,69.91199999999999,70.434,70.944,71.40899999999999,71.8,72.112,72.348,72.513,72.626,72.71600000000001,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,68.482,68.818,69.156,69.491,69.82,70.137,70.44,70.72800000000001,71.00399999999999,71.267,71.52,71.765,72.006,72.247,72.48899999999999,72.732,72.977,73.222,73.465,73.705,73.94,74.171,74.395,74.613,74.821,75.01899999999999,75.204,75.376,75.535,75.683,75.82300000000001,75.956,76.087,76.218,76.34899999999999,76.483,76.617,76.752
Australia,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.49756098
Austria,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.31951219999999,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.18048780000001,79.33170732,79.8804878,80.18048780000001,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64146341
Azerbaijan,64.161,64.28,64.425,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.73100000000001,64.81,64.991,65.256,65.57300000000001,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.20100000000001,70.597,70.938,71.234,71.506,71.768,72.02199999999999,72.266,72.493,72.693
Burundi,46.852,47.083,47.324,47.581,47.843999999999994,48.08,48.243,48.301,48.244,48.08,47.82899999999999,47.522,47.211999999999996,46.953,46.786,46.758,46.905,47.226000000000006,47.708,48.339,49.091,49.93,50.81,51.69,52.547,53.369,54.163000000000004,54.943999999999996,55.721000000000004,56.488,57.228,57.925,58.568000000000005,59.148,59.665,60.123000000000005,60.528,60.898
